KDHFCO_00005	AAKGEC_06445	96.7	455	14	1	1	454	1	455	1.14e-319	864
KDHFCO_00005	AANGNE_00005	70.5	454	131	1	1	454	1	451	1.14e-232	644
KDHFCO_00005	CNLKLD_05110	59.7	461	179	3	1	454	1	461	2.87e-190	536
KDHFCO_00010	AAKGEC_06440	97.4	380	10	0	1	380	1	380	2.65e-259	705
KDHFCO_00010	CNLKLD_05105	71.1	380	110	0	1	380	1	380	8.76e-191	531
KDHFCO_00015	AAKGEC_06435	88.6	1099	125	0	1	1099	1	1099	0.0	1887
KDHFCO_00015	HNNKEJ_10460	71.6	1098	310	2	1	1098	1	1096	0.0	1536
KDHFCO_00015	IAFHMK_09015	63.9	1096	389	5	1	1095	1	1090	0.0	1375
KDHFCO_00015	AANGNE_00015	61.3	1103	417	7	1	1094	1	1102	0.0	1314
KDHFCO_00015	OFBCLB_12165	60.2	1094	434	1	1	1094	1	1093	0.0	1289
KDHFCO_00015	DNKGCI_07335	58.1	1099	458	2	1	1098	1	1098	0.0	1272
KDHFCO_00015	LBKFJK_02405	56.7	1093	472	1	1	1093	1	1092	0.0	1254
KDHFCO_00015	CNLKLD_05100	50.8	1099	520	8	1	1092	1	1085	0.0	1040
KDHFCO_00020	AAKGEC_06430	91.1	1203	107	0	1	1203	1	1203	0.0	2115
KDHFCO_00020	IAFHMK_09020	70.6	1203	351	2	1	1201	1	1202	0.0	1639
KDHFCO_00020	DNKGCI_07340	67.4	1219	369	6	1	1202	1	1207	0.0	1571
KDHFCO_00020	LBKFJK_02400	66.6	1218	383	6	1	1202	1	1210	0.0	1555
KDHFCO_00020	DDDLLA_05735	66.9	1207	391	7	1	1202	1	1204	0.0	1552
KDHFCO_00020	LEAGNF_00795	64.8	1217	385	12	1	1201	1	1190	0.0	1469
KDHFCO_00020	CNLKLD_05095	58.5	1224	472	10	1	1203	1	1209	0.0	1311
KDHFCO_00030	ONFANJ_08325	85.9	185	22	1	1	185	1	181	7.99e-108	305
KDHFCO_00030	BGHOFK_05385	62.2	185	70	0	1	185	1	185	2.58e-77	228
KDHFCO_00035	BGHOFK_05390	95.7	371	15	1	1	371	1	370	3.56e-250	681
KDHFCO_00040	AAKGEC_06410	93.5	107	7	0	1	107	1	107	2.77e-67	197
KDHFCO_00045	ICGPBP_07875	96.0	227	9	0	1	227	7	233	7.36e-154	429
KDHFCO_00050	FGMOCB_04605	79.5	156	31	1	1	156	1	155	3.74e-78	228
KDHFCO_00050	DHALJH_01085	62.3	154	58	0	1	154	14	167	3.92e-59	181
KDHFCO_00055	AANGNE_00035	77.1	188	43	0	1	188	1	188	2.77e-104	297
KDHFCO_00055	OAEMLE_01860	100	87	0	0	102	188	1	87	7.18e-59	178
KDHFCO_00060	DNKGCI_07370	80.1	1174	216	1	1	1174	1	1156	0.0	1870
KDHFCO_00060	CNLKLD_05075	73.4	1179	290	3	1	1173	1	1161	0.0	1697
KDHFCO_00060	CMMBIF_01890	39.5	380	212	6	631	1000	291	662	1.66e-71	253
KDHFCO_00060	DCAANM_00070	100	81	0	0	1	81	1	81	1.51e-47	164
KDHFCO_00060	MKICBC_11860	100	81	0	0	1	81	1	81	4.30e-47	164
KDHFCO_00065	CDIIGJ_08465	93.3	89	6	0	1	89	68	156	1.75e-48	150
KDHFCO_00070	AAKGEC_06365	91.1	123	11	0	1	123	1	123	1.00e-68	202
KDHFCO_00070	CDIIGJ_08470	72.3	119	33	0	1	119	1	119	2.63e-50	155
KDHFCO_00075	AAKGEC_06360	78.5	107	23	0	1	107	1	107	1.53e-55	167
KDHFCO_00080	FGFHJG_12135	84.6	448	65	1	1	444	1	448	5.95e-275	750
KDHFCO_00080	CDIIGJ_08485	72.6	438	120	0	8	445	1	438	6.84e-233	643
KDHFCO_00080	HNNKEJ_10525	68.7	438	137	0	8	445	1	438	5.28e-223	618
KDHFCO_00080	BGHOFK_05425	66.5	439	146	1	8	445	1	439	1.47e-213	594
KDHFCO_00080	IAFHMK_09125	60.2	422	162	2	27	445	6	424	3.73e-179	506
KDHFCO_00080	DNKGCI_07400	56.3	439	190	2	8	445	1	438	7.15e-173	491
KDHFCO_00080	LBKFJK_02355	58.0	441	178	5	8	445	1	437	1.30e-170	485
KDHFCO_00080	DDDLLA_05805	53.8	442	194	2	8	445	1	436	7.27e-165	471
KDHFCO_00080	CNLKLD_05055	53.6	442	195	2	8	445	1	436	2.07e-164	469
KDHFCO_00080	AANGNE_00065	52.6	439	201	2	8	445	1	433	1.88e-159	457
KDHFCO_00085	ABCLFC_00075	98.3	422	7	0	1	422	1	422	3.27e-304	822
KDHFCO_00085	CDIIGJ_08490	69.9	419	125	1	1	418	1	419	3.09e-216	599
KDHFCO_00085	BGHOFK_05430	67.1	423	138	1	1	422	1	423	5.03e-209	581
KDHFCO_00085	HNNKEJ_10530	65.5	423	141	1	1	418	1	423	1.10e-198	555
KDHFCO_00085	IAFHMK_09130	61.1	419	162	1	1	418	1	419	8.79e-190	532
KDHFCO_00085	DNKGCI_07405	58.7	416	167	1	4	414	6	421	6.45e-177	500
KDHFCO_00085	DDDLLA_05810	58.7	419	165	2	4	414	6	424	3.58e-176	498
KDHFCO_00085	LBKFJK_02350	56.3	423	176	2	1	414	1	423	9.28e-174	492
KDHFCO_00085	AGDPFD_00075	54.8	414	185	2	7	418	3	416	1.70e-157	450
KDHFCO_00085	CNLKLD_05050	50.5	416	195	3	4	414	3	412	1.25e-141	410
KDHFCO_00090	CJHCCN_08360	79.2	178	37	0	6	183	2	179	2.18e-96	276
KDHFCO_00090	DNKGCI_07020	53.9	167	76	1	10	175	8	174	4.66e-60	184
KDHFCO_00095	BNPKDP_00090	98.3	696	11	1	1	695	1	696	0.0	1295
KDHFCO_00140	AAOIOD_00790	79.1	611	121	2	1	607	1	608	0.0	923
KDHFCO_00140	CDIIGJ_08545	69.5	640	159	3	1	607	1	637	3.03e-306	844
KDHFCO_00140	HNNKEJ_10585	68.2	620	169	8	1	607	1	605	1.38e-282	783
KDHFCO_00140	IAFHMK_09190	62.4	649	197	7	1	607	1	644	1.41e-265	741
KDHFCO_00140	ONKCDP_03650	83.0	400	65	1	1	400	1	397	7.36e-224	647
KDHFCO_00140	ABJDJH_02515	83.7	288	47	0	320	607	1	288	2.92e-157	452
KDHFCO_00145	AAKGEC_06290	78.6	645	137	1	1	644	1	645	0.0	990
KDHFCO_00145	HNNKEJ_10590	64.7	645	226	2	1	644	1	644	1.17e-300	832
KDHFCO_00145	BGHOFK_05490	64.3	645	228	2	1	644	1	644	2.98e-296	820
KDHFCO_00145	CDIIGJ_08550	65.0	649	222	3	1	644	1	649	1.67e-294	816
KDHFCO_00145	IAFHMK_09195	60.8	646	249	4	1	644	1	644	1.39e-275	768
KDHFCO_00145	LBKFJK_02280	58.7	646	263	4	1	644	1	644	7.95e-265	741
